aDarkina 12.5,6.31,nd,0.84,nd.1,a 100,a 63,Unnamed: 0,a 48,Unnamed: 1,a 433,Unnamed: 2,381,Unnamed: 3,Unnamed: 4,660
bDhela 4.7,0.14,–,0.24,6.6,–,15,,68,,28,,2130,,,918
bEkthute 3.0,2.4,–,0.65,11,–,18,,nd,,84,,nd,,,98
bFoli 2.0,0.70,–,0.64,18,–,nd,,nd,,nd,,nd,,,nd
aGuchi 2.47,2.29,nd,0.11,nd,a 110,a 1,,a 14,,a 9,,133,,,78
aGutum 8.75,nd,nd,0.19,nd,a 25,a 1,,a 9,,a 17,,131,,,76
aJat Punti 4.01,1.29,nd,0.15,nd,a 13,a 4,,a 9,,a 27,,49,,,54
aKachki 3.55,1.5,nd,0.09,nd,a 15,a 2,,a 30,,a 14,,122,,,78
"bKajuli, Bashpata 4.1",0.091,–,0.28,2.9,–,nd,,nd,,37,,nd,,,37
aKakila 2.89,1.4,0.66,0.40,9.2,a 56,a 9,,a 12,,a 54,,53,,,91
aKoi 2.38,1.19,nd,nd,11.4,a 74,a 61,,a 30,,a 163,,171,,,295
"bKuli, Bhut Bailla 1.4",22,–,0.55,3.7,–,nd,,nd,,37,,nd,,,37
aMagur 4.83,nd,nd,0.13,9.4,a 64,a 4,,a 8,,a 7,,15,,,25
"bMeni, Bheda 0.90",0.78,–,0.36,3.5,–,nd,,nd,,36,,61,,,60
aMola 7.98,2.03,2.9,0.27,nd,a nd,a nd,,460,,a 323 a,,4990,,,2503
bMola (cultured) 5.9,3.0,–,0.91,4.3,–,44,,42,,340,,4590,,,2226
"bRani, Bou 6.4",0.12,–,0.63,3.2,–,nd,,nd,,nd,,60,,,24
aShing 12.8,nd,nd,0.34,nd,a 45,a 5,,a 11,,a 11,,22,,,32
aTaki 1.60,nd,nd,0.14,nd,a 22,a 9,,a 13,,a 84,,104,,,139
aTara Baim 5.20,nd,nd,0.17,nd,a 135,a 2,,a 15,,a 16,,120,,,83
bTengra 3.5,0.19,–,0.23,10,–,nd,,nd,,nd,,29,,,12
aTit Punti 6.74,0.995,nd,0.16,nd,a 25,a 4,,a 5,,a 11,,8,,,21
Large fish species,,,,,,,,,,,,,,,
bGojar 0.55,0.42,–,0.28,2.0,–,nd,,nd,,nd,,nd,,,nd
bIlish 2.3,18,–,1.7,1.5,–,nd,,nd,,nd,,49,,,20
bJatka Ilish 2.0,9.0,–,1.9,3.2,–,nd,,nd,,nd,,36,,,14
bShol 1.2,0.18,–,0.52,2.4,–,nd,,nd,,nd,,nd,,,nd
Shrimp/prawn,,,,,,,,,,,,,,,
bHarina Chingri 1.4,0.055,–,1.6,14,–,nd,,nd,,nd,,nd,,,nd
Inland aquaculture,,,,,,,,,,,,,,,
Indigenous major carps,,,,,,,,,,,,,,,
bCatla 1.3,0.28,–,0.23,4.4,–,nd,,nd,,22,,nd,,,22
aMrigal 5.57,0.616,0.39,nd,nd,a nd,a 2,,a 2,,b 9,,9,,,15
aRui 5.05,1.17,nd,0.12,nd,a 6,a 2,,a 1,,b 9,,4,,,13
Introduced fish species,,,,,,,,,,,,,,,
bSilver Carp 0.55,0.24,–,0.49,7.7,–,nd,,nd,,nd,,nd,,,nd
bThai Pangas 1.5,0.13,–,0.32,9.0,–,nd,,nd,,nd,,78,,,31
bMajhari Thai Pangas 14,0.12,–,0.10,15,–,nd,,nd,,nd,,31,,,12
bThai Sharpunti 2.2,23,–,0.32,2.2,–,nd,,nd,,12,,nd,,,12
bTilapia 0.70,6.3,–,0.40,7.6,–,nd,,nd,,10,,nd,,,10
bMajhari Tilapia 2.5,34,–,1.5,8.0,–,nd,,nd,,10,,27,,,21
Marine capture,,,,,,,,,,,,,,,
bFoli Chanda 1.5,0.097,–,0.19,4.8,–,nd,,nd,,nd,,nd,,,nd
bKata Phasa 1.3,3.8,–,0.37,8.6,–,nd,,nd,,nd,,nd,,,nd
bLal Poa 2.0,1.3,–,0.38,7.7,–,nd,,nd,,nd,,nd,,,nd
bMaita 1.6,1.7,–,0.50,2.5,–,nd,,nd,,nd,,nd,,,nd
bMurbaila 0.50,0.20,–,0.09,2.2,–,nd,,nd,,nd,,nd,,,nd
bTailla 0.85,13,–,0.44,3.1,–,nd,,nd,,nd,,nd,,,nd
bTular Dandi 1.7,0.28,–,0.26,8.7,–,nd,,nd,,20,,nd,,,20
